index,season,iso,city,composer,db,dd,nat,mf,work,worknat,type,start date,performances,production
0,1213,al,Tirana,Lortzing,18011023,18510121,de,m,Ali Pascha von Janina,de,~B,20130323,4,
1,1213,al,Tirana,Mozart,17560127,17911205,at,m,Don Giovanni,it,~,20130518,3,
2,1213,al,Tirana,Puccini,18581222,19241129,it,m,Tosca,it,~,20130213,2,
3,1213,am,Yerevan,Spendiaryan,18711020,19280507,am,m,Almast,am,~,20130711,1,
4,1213,am,Yerevan,Tigranian,18791226,19500210,am,m,Anoush,am,~,20130511,3,
5,1213,am,Yerevan,Verdi,18131010,19010127,it,m,La traviata,it,~,20130727,1,
6,1213,ar,Buenos Aires,Bizet,18381025,18750603,fr,m,Carmen,fr,~,20130416,6,
7,1213,ar,Buenos Aires,Donizetti,17971129,18480408,it,m,Lucrezia Borgia,it,~,20130517,5,
8,1213,ar,Buenos Aires,Mercadante,17950917,18701217,it,m,I due Figaro,it,~,20120828,2,
9,1213,ar,Buenos Aires,Mozart,17560127,17911205,at,m,Cosi fan tutte,it,~,20130315,5,
10,1213,ar,Buenos Aires,Mozart,17560127,17911205,at,m,Le nozze di Figaro,it,~,20130813,6,!
11,1213,ar,Buenos Aires,Rakhmaninov,1873,1943,ru,m,Aleko,ru,~B,20130514,4,
12,1213,ar,Buenos Aires,Rakhmaninov,1873,1943,ru,m,Francesca da Rimini,ru,~,20130514,4,
13,1213,ar,Buenos Aires,Rossini,17920229,18681113,it,m,La cenerentola,it,~,20120925,5,!
14,1213,ar,Buenos Aires,"Strauss,R",1864,1949,de,m,Die Frau ohne Schatten,de,~,20130611,4,
15,1213,ar,Buenos Aires,"Tchaikovsky,P",1840,1893,ru,m,Eugene Onegin,ru,~,20121109,5,!
16,1213,ar,Buenos Aires,Verdi,18131010,19010127,it,m,Nabucco,it,~,20130802,5,
17,1213,ar,Buenos Aires,Verdi,18131010,19010127,it,m,Otello,it,~,20130718,5,!
18,1213,ar,Buenos Aires,"Wagner,Richard",18130522,18830213,de,m,Der Ring an 1 Abend,de,~,20121127,4,P
19,1213,ar,La Plata,Albeniz,1860,1909,es,m,Pepita Jimenez,es,~,20121028,3,
20,1213,ar,La Plata,Bellini,18011103,18350923,it,m,I Capuleti e i Montecchi,it,~,20120831,4,
21,1213,ar,La Plata,Orff,1895,1982,de,m,Carmina Burana,de,~,20130518,3,
22,1213,ar,La Plata,"Schoenberg,A",1874,1951,at,m,Pierrot Lunaire,at,~B,20130614,3,
23,1213,ar,La Plata,"Wagner,Richard",18130522,18830213,de,m,Die Walkure,de,~,20121202,6,
24,1213,at,Bad Ischl,Lehar,1870,1948,hu,m,Wo die Lerche singt,hu,~,20130815,2,
25,1213,at,Bad Ischl,Lehar,1870,1948,hu,m,Zigeunerliebe,hu,~L,20120721,1,!
26,1213,at,Bad Ischl,Millocker,18420429,18991231,at,m,Gasparone,at,~L,20130720,11,
27,1213,at,Bad Ischl,"Zeller,C",1842,1898,at,m,Der Vogelhandler,at,~L,20120714,1,!
28,1213,at,Baden bei Wien,Benatzky,18840605,19571016,at,m,Im weissen Rossl,at,~L,20130216,15,!
29,1213,at,Baden bei Wien,"Kalman,E",18821024,19531030,hu,m,Grafin Mariza,hu,~L,20120713,3,!
30,1213,at,Baden bei Wien,Millocker,18420429,18991231,at,m,Die Dubarry,at,~L,20121020,13,!
31,1213,at,Baden bei Wien,Offenbach,1819,1880,fr,m,La belle Helene,frde,~L,20130621,14,!
32,1213,at,Baden bei Wien,"Strauss,J",1825,1899,at,m,Indigo,at,~L,20121215,13,!
33,1213,at,Bregenz,Frost,1980,,au,m,The Wasp Factory,au,~,20130801,3,P
34,1213,at,Bregenz,Mozart,17560127,17911205,at,m,Die Zauberflote,de,~,20130717,27,!
35,1213,at,Bregenz,Neuwirth,19680804,,at,f,American Lulu,at,~,20130816,2,P
36,1213,at,Bregenz,Stravinsky,1882,1971,ru,m,L'histoire du Soldat,ru,~,20121004,4,
37,1213,at,Bregenz,Tchaikowsky,19351101,19820626,pl,m,Der Kaufmann von Venedig,pl,~,20130718,3,P
38,1213,at,Bregenz,Verdi,18131010,19010127,it,m,La traviata,it,~,20130213,10,
39,1213,at,Eisenstadt,Haydn,1732,1809,at,m,L'isola disabitata,it,~,20120912,1,c
40,1213,at,Erl,Verdi,18131010,19010127,it,m,Il trovatore,it,~,20130706,2,
41,1213,at,Erl,Verdi,18131010,19010127,it,m,La traviata,it,~,20130712,2,
42,1213,at,Erl,Verdi,18131010,19010127,it,m,Nabucco,it,~,20130727,1,
43,1213,at,Erl,Verdi,18131010,19010127,it,m,Rigoletto,it,~,20130705,2,
44,1213,at,Gars am Kamp,Rossini,17920229,18681113,it,m,Il barbiere di Siviglia,it,~,20130719,9,
45,1213,at,Graz,Donizetti,17971129,18480408,it,m,L'elisir d'amore,it,~,20121117,17,!
46,1213,at,Graz,Humperdinck,1854,1921,de,m,Hansel und Gretel,de,~C,20121213,16,!
47,1213,at,Graz,Millocker,18420429,18991231,at,m,Gasparone,at,~L,20130228,14,!
48,1213,at,Graz,Offenbach,1819,1880,fr,m,Barbe-bleue,frde,~L,20130622,6,
49,1213,at,Graz,Puccini,18581222,19241129,it,m,Manon Lescaut,it,~,20121006,13,!
50,1213,at,Graz,Purcell,1659,1695,uk,m,Dido and Aeneas,uk,~B,20130713,1,
51,1213,at,Graz,Stradella,1642,1682,it,m,San Giovanni Battista,it,~O,20130630,1,
52,1213,at,Graz,Verdi,18131010,19010127,it,m,Falstaff,it,~,20130119,13,!
53,1213,at,Graz,Verdi,18131010,19010127,it,m,La traviata,it,~,20121011,7,
54,1213,at,Graz,Weill,1900,1950,de,m,Aufstieg und Fall der Stadt Mahagonny,deus,~,20130516,6,!
55,1213,at,Grein,Duron,16600419,17160803,es,m,El imposible mayor en amor le vence Amor,es,~Z,20130803,5,
56,1213,at,Innsbruck,Bizet,18381025,18750603,fr,m,Les Pecheurs de perles,fr,~,20130615,6,!
57,1213,at,Innsbruck,Blow,16490223,17081001,uk,m,Venus and Adonis,uk,~B,20130814,3,!
58,1213,at,Innsbruck,"Caccini,G",15511008,16181210,it,m,L'Euridice,it,~,20130823,2,
59,1213,at,Innsbruck,Catalani,1854,1893,it,m,La Wally,it,~,20120929,13,!
60,1213,at,Innsbruck,Cherubini,1760,1842,it,m,Medea,,~,20130420,6,!
61,1213,at,Innsbruck,Janacek,1854,1928,cz,m,The Cunning Little Vixen,cz,~,20130323,12,!
62,1213,at,Innsbruck,Korngold,18970529,19571129,us,m,Die tote Stadt,us,~,20130209,11,!
63,1213,at,Innsbruck,Kuhr,19521228,,at,m,Stallerhof,at,~,20130421,7,!
64,1213,at,Innsbruck,Mozart,17560127,17911205,at,m,La clemenza di Tito,it,~,20130807,3,
65,1213,at,Innsbruck,Purcell,1659,1695,uk,m,Dido and Aeneas,uk,~B,20130814,3,!
66,1213,at,Innsbruck,Rossini,17920229,18681113,it,m,Il barbiere di Siviglia,it,~,20121124,13,!
67,1213,at,Innsbruck,Straus,1870,1954,at,m,Ein Walzertraum,at,~,20121215,19,!
68,1213,at,Jennersdorf,Humperdinck,1854,1921,de,m,Hansel und Gretel,de,~C,20130801,6,
69,1213,at,Kirchstetten,Verdi,18131010,19010127,it,m,Rigoletto,it,~,20130803,8,
70,1213,at,Klagenfurt,Bizet,18381025,18750603,fr,m,Les Pecheurs de perles,fr,~,20130413,8,c
71,1213,at,Klagenfurt,Janacek,1854,1928,cz,m,The Cunning Little Vixen,cz,~,20121025,14,!
72,1213,at,Klagenfurt,Mozart,17560127,17911205,at,m,Idomeneo re di Creta,it,~,20130207,10,!
73,1213,at,Klagenfurt,"Strauss,J",1825,1899,at,m,Der Zigeunerbaron,at,~L,20121213,11,!
74,1213,at,Klagenfurt,Weber,1786,1826,de,m,Der Freischutz,de,~,20120913,14,!
75,1213,at,Klosterneuburg,Nicolai,1810,1849,de,m,Die lustigen Weiber von Windsor,de,~,20130706,11,
76,1213,at,Langenlois,"Strauss,J",1825,1899,at,m,Wiener Blut,at,~L,20130725,10,!
77,1213,at,Linz,Androsch,19630112,,at,m,Opernmaschine,at,~,20130512,4,P
78,1213,at,Linz,Donizetti,17971129,18480408,it,m,Don Pasquale,it,~,20121208,16,!
79,1213,at,Linz,Glass,1937,,us,m,Spuren der Verirrten,us,~,20130412,3,P
80,1213,at,Linz,Mozart,17560127,17911205,at,m,Cosi fan tutte,it,~,20121031,3,
81,1213,at,Linz,Offenbach,1819,1880,fr,m,La vie parisienne,frde,~L,20121027,18,!
82,1213,at,Linz,Purcell,1659,1695,uk,m,King Arthur,uk,~,20130119,12,!
83,1213,at,Linz,"Strauss,R",1864,1949,de,m,Der Rosenkavalier,de,~,20130415,3,!
84,1213,at,Linz,Telemann,1681,1767,de,m,Miriways,de,~,20120923,1,c
85,1213,at,Linz,Verdi,18131010,19010127,it,m,Rigoletto,it,~,20120922,18,!
86,1213,at,Moerbisch,Millocker,18420429,18991231,at,m,Der Bettelstudent,at,~L,20130711,28,
87,1213,at,Retz,Britten,19131122,19761204,uk,m,The Prodigal Son,uk,~,20130704,6,!
88,1213,at,Salzburg,Bellini,18011103,18350923,it,m,Norma,it,~,20130517,2,
89,1213,at,Salzburg,Bellini,18011103,18350923,it,m,Norma,it,~,20130817,5,
90,1213,at,Salzburg,Birtwistle,19340715,,uk,m,Gawain,uk,~,20130726,5,
91,1213,at,Salzburg,Brahms,18330507,18970403,de,m,Ein deutsches Requiem,de,~O,20130325,2,
92,1213,at,Salzburg,Braunfels,18821219,19540319,de,m,Szenen aus dem Leben der Heiligen Johanna,de,~,20130801,1,c
93,1213,at,Salzburg,Handel,1685,1759,uk,m,Ariodante,,~,20130426,7,!
94,1213,at,Salzburg,Jommelli,1714,1774,it,m,Isacco figura del Redentore,,~O,20130519,1,
95,1213,at,Salzburg,Massenet,1842,1912,fr,m,Werther,fr,~,20130309,9,!
96,1213,at,Salzburg,Mozart,17560127,17911205,at,m,Cosi fan tutte,it,~,20130120,11,!
97,1213,at,Salzburg,Mozart,17560127,17911205,at,m,Cosi fan tutte,it,~,20130821,4,
98,1213,at,Salzburg,Mozart,17560127,17911205,at,m,Die Entfuhrung aus dem Serail,de,~,20130727,7,!
99,1213,at,Salzburg,Mozart,17560127,17911205,at,m,Die Entfuhrung aus dem Serail,de,~,20130826,1,
100,1213,at,Salzburg,Mozart,17560127,17911205,at,m,Lucio Silla,it,~,20130124,3,
101,1213,at,Salzburg,Mozart,17560127,17911205,at,m,Lucio Silla,it,~,20130727,4,
102,1213,at,Salzburg,"Strauss,J",1825,1899,at,m,Die Fledermaus,at,~L,20120922,20,!
103,1213,at,Salzburg,Turnage,1960,,uk,m,Greek,uk,~,20130526,7,!
104,1213,at,Salzburg,Verdi,18131010,19010127,it,m,Don Carlos,it,~,20130813,6,
105,1213,at,Salzburg,Verdi,18131010,19010127,it,m,Falstaff,it,~,20130729,6,
106,1213,at,Salzburg,Verdi,18131010,19010127,it,m,Nabucco,it,~,20130829,1,c
107,1213,at,Salzburg,"Wagner,Richard",18130522,18830213,de,m,Die Meistersinger von Nurnberg,de,~,20130802,6,
108,1213,at,Salzburg,"Wagner,Richard",18130522,18830213,de,m,Parsifal,de,~,20130323,2,!
109,1213,at,Salzburg,"Wagner,Richard",18130522,18830213,de,m,"Rienzi, der letzte der Tribunen",de,~,20130811,2,c
110,1213,at,Salzburg,"Wagner,Richard",18130522,18830213,de,m,Tristan und Isolde,de,~,20121031,6,!
111,1213,at,St Margarethen,Puccini,18581222,19241129,it,m,La boheme,it,~,20130710,23,
112,1213,at,Wels,"Wagner,Richard",18130522,18830213,de,m,Tannhauser,de,~,20130517,2,!
113,1213,at,Wien,Altan,1985,,tr,f,La boheme,tr,~,20130121,10,
114,1213,at,Wien,Beethoven,1770,1827,de,m,Fidelio,de,~,20121001,6,
115,1213,at,Wien,Beethoven,1770,1827,de,m,Fidelio,de,~,20130317,6,!
116,1213,at,Wien,Bellini,18011103,18350923,it,m,La sonnambula,it,~,20121208,4,
117,1213,at,Wien,"Benjamin,G",19600131,,uk,m,Written on Skin,uk,~,20130614,3,
118,1213,at,Wien,Berlioz,18031211,18690308,fr,m,Beatrice et Benedict,fr,~,20130417,6,!
119,1213,at,Wien,Bernstein,19180825,19901014,us,m,Candide,us,~L,20130118,3,c
120,1213,at,Wien,Bizet,18381025,18750603,fr,m,Carmen,fr,~,20120902,12,
121,1213,at,Wien,Bizet,18381025,18750603,fr,m,Carmen,fr,~,20130520,5,
122,1213,at,Wien,Britten,19131122,19761204,uk,m,Curlew River,uk,~B,20130325,5,
123,1213,at,Wien,Britten,19131122,19761204,uk,m,Curlew River,uk,~B,20130325,6,
124,1213,at,Wien,Britten,19131122,19761204,uk,m,The Prodigal Son,uk,~,20130325,5,
125,1213,at,Wien,Cavalli,1602,1676,it,m,La Calisto,it,~,20120916,1,c
126,1213,at,Wien,Donizetti,17971129,18480408,it,m,L'elisir d'amore,it,~,20120906,9,
127,1213,at,Wien,Donizetti,17971129,18480408,it,m,La Fille du regiment,it,~,20130428,6,
128,1213,at,Wien,"Dvorak,A",1841,1904,cz,m,Rusalka,cz,~,20121104,5,
129,1213,at,Wien,Giordano,1876,1948,it,m,Andrea Chenier,it,~,20130516,3,
130,1213,at,Wien,Gluck,1714,1787,de,m,Alceste,,~,20121112,5,!
131,1213,at,Wien,Gluck,1714,1787,de,m,Iphigenie en Aulide,,~,20121108,6,!
132,1213,at,Wien,Gounod,1818,1893,fr,m,Romeo et Juliette,fr,~,20130621,3,
133,1213,at,Wien,Handel,1685,1759,uk,m,Acis e Galatea,,~,20130325,1,c
134,1213,at,Wien,Handel,1685,1759,uk,m,Amadigi di Gaula,,~,20130425,1,c
135,1213,at,Wien,Handel,1685,1759,uk,m,Arianna in Creta,,~,20130320,1,c
136,1213,at,Wien,Handel,1685,1759,uk,m,Il trionfo del tempo e del disinganno,,~O,20130128,1,c
137,1213,at,Wien,Handel,1685,1759,uk,m,Orlando,,~,20130513,10,
138,1213,at,Wien,Handel,1685,1759,uk,m,Radamisto,,~,20130120,6,!
139,1213,at,Wien,Handel,1685,1759,uk,m,Solomon,,~,20130327,1,c
140,1213,at,Wien,Henze,19260701,20121027,de,m,Das Wundertheater,de,~B,20130615,4,
141,1213,at,Wien,Henze,19260701,20121027,de,m,Pollicino,de,~,20130428,5,!
142,1213,at,Wien,Hindemith,1895,1963,de,m,Mathis der Maler,de,~,20121212,5,!
143,1213,at,Wien,Humperdinck,1854,1921,de,m,Hansel und Gretel,de,~C,20121208,8,
144,1213,at,Wien,"Kalman,E",18821024,19531030,hu,m,Die Csardasfurstin,hu,~L,20130221,9,
145,1213,at,Wien,Lehar,1870,1948,hu,m,Die lustige Witwe,hu,~L,20120926,17,
146,1213,at,Wien,Leoncavallo,18570423,19190809,it,m,Pagliacci,it,~B,20130615,4,
147,1213,at,Wien,Ligeti,19230528,20060612,hu,m,Le Grand Macabre,hu,~,20121002,4,!
148,1213,at,Wien,Lincke,18661107,19460903,de,m,Frau Luna,de,~,20130606,8,!
149,1213,at,Wien,Lortzing,18011023,18510121,de,m,Der Wildschutz,de,~,20130420,11,!
150,1213,at,Wien,Maderna,19200421,19731113,it,m,Satyricon,it,~B,20130123,1,c
151,1213,at,Wien,Marcello,1686,17390724,it,m,Filetta e Spago,,~,20121015,5,!
152,1213,at,Wien,Marcello,1686,17390724,it,m,Filetta e Spago,,~,20130403,4,
153,1213,at,Wien,Massenet,1842,1912,fr,m,Werther,fr,~,20130420,5,
154,1213,at,Wien,Mitterer,1958,,at,m,Baron Munchhausen,at,~C,20121020,1,
155,1213,at,Wien,Mitterer,1958,,at,m,Baron Munchhausen,at,~C,20130404,1,
156,1213,at,Wien,Monteverdi,1567,1643,it,m,Il ritorno d'Ulisse in patria,it,~,20120907,6,!
157,1213,at,Wien,Mozart,17560127,17911205,at,m,Die Entfuhrung aus dem Serail,de,~,20120909,3,
158,1213,at,Wien,Mozart,17560127,17911205,at,m,Die Zauberflote,de,~,20121230,5,
159,1213,at,Wien,Mozart,17560127,17911205,at,m,Die Zauberflote,de,~,20130127,14,
160,1213,at,Wien,Mozart,17560127,17911205,at,m,Don Giovanni,it,~,20121011,8,
161,1213,at,Wien,Mozart,17560127,17911205,at,m,La clemenza di Tito,it,~,20121018,4,
162,1213,at,Wien,Mozart,17560127,17911205,at,m,Le nozze di Figaro,it,~,20121010,7,
163,1213,at,Wien,Mozart,17560127,17911205,at,m,Le nozze di Figaro,it,~,20121125,8,!
164,1213,at,Wien,Musorgsky,1839,1881,ru,m,Boris Godunov,ru,~,20120924,3,
165,1213,at,Wien,Orlandini,16760404,17601024,it,m,Serpilla e Bacocco,it,~,20121015,5,!
166,1213,at,Wien,Orlandini,16760404,17601024,it,m,Serpilla e Bacocco,it,~,20130403,4,
167,1213,at,Wien,Porpora,168608,17680303,it,m,Polifemo,,~,20130222,1,c
168,1213,at,Wien,Poulenc,18990107,19630130,fr,m,La Voix humaine,fr,~B,20130219,1,c
169,1213,at,Wien,Puccini,18581222,19241129,it,m,Gianni Schicchi,it,~B,20121010,6,!
170,1213,at,Wien,Puccini,18581222,19241129,it,m,Gianni Schicchi,it,~B,20130323,5,
171,1213,at,Wien,Puccini,18581222,19241129,it,m,Il tabarro,it,~B,20121010,6,!
172,1213,at,Wien,Puccini,18581222,19241129,it,m,Il tabarro,it,~B,20130323,5,
173,1213,at,Wien,Puccini,18581222,19241129,it,m,La boheme,it,~,20121204,8,
174,1213,at,Wien,Puccini,18581222,19241129,it,m,Madama Butterfly,it,~,20120929,6,
175,1213,at,Wien,Puccini,18581222,19241129,it,m,Suor Angelica,it,~B,20121010,6,!
176,1213,at,Wien,Puccini,18581222,19241129,it,m,Tosca,it,~,20121004,6,
177,1213,at,Wien,Puccini,18581222,19241129,it,m,Tosca,it,~,20121116,9,
178,1213,at,Wien,Pugnani,17311127,17980715,it,m,Werther,,~,20121215,1,c
179,1213,at,Wien,Purcell,1659,1695,uk,m,Dido and Aeneas,uk,~B,20130421,1,c
180,1213,at,Wien,Rossini,17920229,18681113,it,m,Il barbiere di Siviglia,it,~,20121027,12,
181,1213,at,Wien,Rossini,17920229,18681113,it,m,Il barbiere di Siviglia,it,~,20130112,9,
182,1213,at,Wien,Rossini,17920229,18681113,it,m,L'italiana in Algeri,it,~,20130107,4,
183,1213,at,Wien,Rossini,17920229,18681113,it,m,La cambiale di matrimonio,it,~B,20121021,10,
184,1213,at,Wien,Rossini,17920229,18681113,it,m,La cenerentola,it,~,20130126,10,!
185,1213,at,Wien,Rossini,17920229,18681113,it,m,Le comte Ory,it,~,20130216,6,!
186,1213,at,Wien,Rossini,17920229,18681113,it,m,Le nozze di Teti e di Peleo,it,~,20130226,1,c
187,1213,at,Wien,Schedlberger,1976,,at,m,MarieLuise,at,~,20121231,6,
188,1213,at,Wien,Smetana,1824,1884,cz,m,Prodana nevesta,cz,~,20130217,11,!
189,1213,at,Wien,"Strauss,J",1825,1899,at,m,Die Fledermaus,at,~L,20120901,25,
190,1213,at,Wien,"Strauss,J",1825,1899,at,m,Die Fledermaus,at,~L,20121231,3,
191,1213,at,Wien,"Strauss,R",1864,1949,de,m,Arabella,de,~,20120905,4,
192,1213,at,Wien,"Strauss,R",1864,1949,de,m,Ariadne auf Naxos,de,~,20121219,5,!
193,1213,at,Wien,"Strauss,R",1864,1949,de,m,Capriccio,de,~,20130620,3,
194,1213,at,Wien,"Strauss,R",1864,1949,de,m,Der Rosenkavalier,de,~,20130109,3,
195,1213,at,Wien,"Strauss,R",1864,1949,de,m,Elektra,de,~,20120920,3,
196,1213,at,Wien,"Strauss,R",1864,1949,de,m,Salome,de,~,20120916,6,
197,1213,at,Wien,"Strauss,R",1864,1949,de,m,Salome,de,~,20130211,3,
198,1213,at,Wien,Straus,1870,1954,at,m,Ein Walzertraum,at,~,20120906,11,!
199,1213,at,Wien,"Tchaikovsky,P",1840,1893,ru,m,Eugene Onegin,ru,~,20130412,4,
200,1213,at,Wien,"Tchaikovsky,P",1840,1893,ru,m,Pikovaya Dama,ru,~,20130119,4,
201,1213,at,Wien,Verdi,18131010,19010127,it,m,Aida,it,~,20130314,4,!
202,1213,at,Wien,Verdi,18131010,19010127,it,m,Attila,it,~,20130707,5,!
203,1213,at,Wien,Verdi,18131010,19010127,it,m,Don Carlos,it,~,20120904,4,
204,1213,at,Wien,Verdi,18131010,19010127,it,m,Don Carlos,it,~,20130409,3,
205,1213,at,Wien,Verdi,18131010,19010127,it,m,I vespri siciliani,it,~,20120915,2,
206,1213,at,Wien,Verdi,18131010,19010127,it,m,Il trovatore,it,~,20130526,4,
207,1213,at,Wien,Verdi,18131010,19010127,it,m,La traviata,it,~,20120921,4,
208,1213,at,Wien,Verdi,18131010,19010127,it,m,La traviata,it,~,20121110,11,
209,1213,at,Wien,Verdi,18131010,19010127,it,m,Nabucco,it,~,20130120,3,
210,1213,at,Wien,Verdi,18131010,19010127,it,m,Otello,it,~,20121209,4,
211,1213,at,Wien,Verdi,18131010,19010127,it,m,Rigoletto,it,~,20130228,5,
212,1213,at,Wien,Verdi,18131010,19010127,it,m,Rigoletto,it,~,20130408,3,
213,1213,at,Wien,Verdi,18131010,19010127,it,m,Simon Boccanegra,it,~,20121107,7,
214,1213,at,Wien,Verdi,18131010,19010127,it,m,Un ballo in maschera,it,~,20130128,3,
215,1213,at,Wien,Vinci,1690,1730,it,m,L'Artaserse,,~,20121120,1,c
216,1213,at,Wien,Vivaldi,1678,1741,it,m,Tito Manlio,it,~,20121017,1,c
217,1213,at,Wien,"Wagner,Richard",18130522,18830213,de,m,Das Rheingold,de,~,20130512,1,
218,1213,at,Wien,"Wagner,Richard",18130522,18830213,de,m,Der Ring an 1 Abend,de,~,20130523,4,c
219,1213,at,Wien,"Wagner,Richard",18130522,18830213,de,m,Der fliegende Hollander,de,~,20130502,3,
220,1213,at,Wien,"Wagner,Richard",18130522,18830213,de,m,Die Meistersinger von Nurnberg,de,~,20121121,4,
221,1213,at,Wien,"Wagner,Richard",18130522,18830213,de,m,Die Walkure,de,~,20130515,3,
222,1213,at,Wien,"Wagner,Richard",18130522,18830213,de,m,Gotterdammerung,de,~,20130522,1,
223,1213,at,Wien,"Wagner,Richard",18130522,18830213,de,m,Parsifal,de,~,20130328,3,
224,1213,at,Wien,"Wagner,Richard",18130522,18830213,de,m,Siegfried,de,~,20130519,1,
225,1213,at,Wien,"Wagner,Richard",18130522,18830213,de,m,Tristan und Isolde,de,~,20130613,5,!
226,1213,at,Wien,"Wagner,W",19620928,,at,m,Turkenkind,at,~,20121005,2,
227,1213,at,Wien,Weill,1900,1950,de,m,Aufstieg und Fall der Stadt Mahagonny,deus,~,20120922,3,!
228,1213,at,Wien,von Bose,19531224,,de,m,Verkehr mit Gespenstern,de,~,20121205,3,P
229,1213,au,Adelaide,Beethoven,1770,1827,de,m,Fidelio,de,~,20121013,4,
230,1213,au,Adelaide,Offenbach,1819,1880,fr,m,Orphee aux enfers,frde,~L,20120825,1,
231,1213,au,Adelaide,"Strauss,R",1864,1949,de,m,Salome,de,~,20130824,3,
232,1213,au,Brisbane,"Bach,JS",16850321,17500728,de,m,Matthaus-Passion,,~O,20130321,3,
233,1213,au,Brisbane,Bizet,18381025,18750603,fr,m,Carmen,fr,~,20121026,6,
234,1213,au,Brisbane,Rossini,17920229,18681113,it,m,La cenerentola,it,~,20130706,10,!
235,1213,au,Melbourne,Adams,19470215,,us,m,Nixon in China,us,~,20130316,4,
236,1213,au,Melbourne,Beethoven,1770,1827,de,m,Fidelio,de,~,20130202,4,
237,1213,au,Melbourne,Beethoven,1770,1827,de,m,Fidelio,de,~,20130302,1,
238,1213,au,Melbourne,Donizetti,17971129,18480408,it,m,Lucia di Lammermoor,it,~,20121119,8,
239,1213,au,Melbourne,Gill,19421104,,au,m,Sleeping Beauty,au,~C,20130117,6,P
240,1213,au,Melbourne,Handel,1685,1759,uk,m,Partenope,,~,20130502,4,
241,1213,au,Melbourne,Montsalvatge,19120311,20020507,es,m,El gato con botas,es,~C,20130529,9,
242,1213,au,Melbourne,Piazzolla,19210311,19920705,ar,m,Maria de Buenos Aires,ar,~,20130821,5,
243,1213,au,Melbourne,Puccini,18581222,19241129,it,m,Madama Butterfly,it,~,20121114,10,
244,1213,au,Melbourne,"Strauss,R",1864,1949,de,m,Salome,de,~,20121201,6,
245,1213,au,Melbourne,Verdi,18131010,19010127,it,m,Aida,it,~,20130422,9,
246,1213,au,Melbourne,Verdi,18131010,19010127,it,m,Un ballo in maschera,it,~,20130412,6,
247,1213,au,Melbourne,Young,,,au,m,The Minotaur Trilogy,au,~,20121018,5,
248,1213,au,Melbourne,van der Aa,19700310,,nl,m,After Life,nl,~,20121011,3,
249,1213,au,Perth,Mozart,17560127,17911205,at,m,Don Giovanni,it,~,20130716,6,
250,1213,au,Perth,Puccini,18581222,19241129,it,m,Madama Butterfly,it,~,20121023,6,
251,1213,au,Perth,Verdi,18131010,19010127,it,m,La traviata,it,~,20130409,6,
252,1213,au,Perth,Verdi,18131010,19010127,it,m,Rigoletto,it,~,20130202,1,
253,1213,au,Sydney,Bizet,18381025,18750603,fr,m,Carmen,fr,~,20130322,18,
254,1213,au,Sydney,Britten,19131122,19761204,uk,m,Albert Herring,uk,~,20130816,5,
255,1213,au,Sydney,Donizetti,17971129,18480408,it,m,Don Pasquale,it,~,20130718,8,
256,1213,au,Sydney,Donizetti,17971129,18480408,it,m,Lucia di Lammermoor,it,~,20120928,10,!
257,1213,au,Sydney,Mozart,17560127,17911205,at,m,Le nozze di Figaro,it,~,20130810,1,
258,1213,au,Sydney,Offenbach,1819,1880,fr,m,Orphee aux enfers,frde,~L,20130228,14,
259,1213,au,Sydney,Puccini,18581222,19241129,it,m,La boheme,it,~,20121231,1,
260,1213,au,Sydney,Puccini,18581222,19241129,it,m,La boheme,it,~,20130105,21,
261,1213,au,Sydney,Puccini,18581222,19241129,it,m,Madama Butterfly,it,~,20120920,12,
262,1213,au,Sydney,Puccini,18581222,19241129,it,m,Tosca,it,~,20130706,16,
263,1213,au,Sydney,Rameau,16830925,17640912,fr,m,Castor et Pollux,fr,~,20121206,3,
264,1213,au,Sydney,"Strauss,R",1864,1949,de,m,Salome,de,~,20121012,8,!
265,1213,au,Sydney,Verdi,18131010,19010127,it,m,Aida,it,~,20120717,8,
266,1213,au,Sydney,Verdi,18131010,19010127,it,m,Falstaff,it,~,20130215,8,
267,1213,au,Sydney,Verdi,18131010,19010127,it,m,Il trovatore,it,~,20130129,9,
268,1213,au,Sydney,Verdi,18131010,19010127,it,m,La forza del destino,it,~,20130629,8,
269,1213,au,Sydney,Verdi,18131010,19010127,it,m,La traviata,it,~,20130730,9,
270,1213,au,Sydney,Verdi,18131010,19010127,it,m,Un ballo in maschera,it,~,20130116,8,!
271,1213,az,Baku,Adigozalov,19350728,2006,az,m,Natavan,az,~,20130116,1,
272,1213,az,Baku,Amirov,19221122,19840220,az,m,Sevil,az,~,20121012,4,
273,1213,az,Baku,Bizet,18381025,18750603,fr,m,Carmen,fr,~,20121020,2,
274,1213,az,Baku,"Hajibeyov,U",18850905,19481123,az,m,Arshin Mal Alan,az,~,20121005,5,
275,1213,az,Baku,"Hajibeyov,U",18850905,19481123,az,m,Asli and Karam,az,~,20121228,5,!
276,1213,az,Baku,"Hajibeyov,U",18850905,19481123,az,m,Koroglu,az,~,20130427,1,
277,1213,az,Baku,"Hajibeyov,U",18850905,19481123,az,m,Leyli and Majnun,az,~,20120923,9,
278,1213,az,Baku,"Hajibeyov,Z",18840417,19500930,az,m,Ashiq Qarib,az,~,20130609,1,
279,1213,az,Baku,Leoncavallo,18570423,19190809,it,m,Pagliacci,it,~B,20121103,2,
