"","X","year_ceremony","category","film","winner","year","genre1","genre2","genre3","rating","gross","runtime"
"1","6",1970,"BEST PICTURE","Anne of the Thousand Days","False",1969,"Biography","Drama","History",7.4,"2068232",145
"2","8",1970,"BEST PICTURE","Butch Cassidy and the Sundance Kid","False",1969,"Biography","Crime","Drama",8,"102308889",110
"3","10",1970,"BEST PICTURE","Hello, Dolly!","False",1969,"Adventure","Comedy","Musical",7,"7239608",146
"4","12",1970,"BEST PICTURE","Z","False",1969,"Crime","Drama","Thriller",8.2,"83305",127
"5","2",1970,"BEST PICTURE","Midnight Cowboy","True",1969,"Drama",NA,NA,NA,"3600000",113
"6","1",1970,"INTERNATIONAL FEATURE FILM","The Battle of Neretva","False",1969,"Drama","History","War",7,NA,105
"7","3",1970,"INTERNATIONAL FEATURE FILM","My Night at Maud's","False",1969,"Comedy","Drama","Romance",7.8,NA,105
"8","4",1970,"INTERNATIONAL FEATURE FILM","Z","True",1969,"Crime","Drama","Thriller",8.2,"83305",127
"9","1102",1970,"INTERNATIONAL FEATURE FILM","The Brothers Karamazov","False",1969,"Drama",NA,NA,NA,NA,218
"10","1107",1970,"INTERNATIONAL FEATURE FILM","Adalen '31","False",NA,NA,NA,NA,NA,NA,NA
"11","14",1970,"WRITING","Anne of the Thousand Days","False",1969,"Biography","Drama","History",7.4,"2068232",145
"12","16",1970,"WRITING","Goodbye, Columbus","False",1969,"Comedy","Drama","Romance",6.4,"22939805",102
"13","17",1970,"WRITING","Z","False",1969,"Crime","Drama","Thriller",8.2,"83305",127
"14","19",1970,"WRITING","Bob & Carol & Ted & Alice","False",1969,"Comedy","Drama","Romance",6.7,"31897253",105
"15","20",1970,"WRITING","Butch Cassidy and the Sundance Kid","True",1969,"Biography","Crime","Drama",8,"102308889",110
"16","22",1970,"WRITING","The Damned","False",1969,"Drama","War",NA,7.4,"625315",156
"17","23",1970,"WRITING","Easy Rider","False",1969,"Adventure","Drama",NA,7.3,"41728598",95
"18","24",1970,"WRITING","The Wild Bunch","False",1969,"Action","Adventure","Western",7.9,"12064472",135
"19","311",1970,"WRITING","Midnight Cowboy","True",1969,"Drama",NA,NA,NA,"3600000",113
"20","413",1970,"WRITING","They Shoot Horses, Don't They?","False",1969,"Drama",NA,NA,NA,NA,120
"21","27",1971,"BEST PICTURE","Airport","False",1970,"Action","Drama","Thriller",6.6,"100489150",137
"22","29",1971,"BEST PICTURE","Love Story","False",1970,"Drama","Romance",NA,6.9,"106400000",100
"23","30",1971,"BEST PICTURE","M*A*S*H","False",1970,"Comedy","Drama","War",7.4,"81600000",116
"24","31",1971,"BEST PICTURE","Patton","True",1970,"Biography","Drama","War",7.9,"61700000",172
"25","610",1971,"BEST PICTURE","Five Easy Pieces","False",1970,"Drama",NA,NA,NA,NA,98
"26","26",1971,"INTERNATIONAL FEATURE FILM","First Love","False",1970,"Drama","Romance",NA,6.5,NA,90
"27","5",1971,"INTERNATIONAL FEATURE FILM","Tristana","False",1970,"Drama",NA,NA,NA,NA,95
"28","251",1971,"INTERNATIONAL FEATURE FILM","Hoa-Binh","False",NA,NA,NA,NA,NA,NA,NA
"29","314",1971,"INTERNATIONAL FEATURE FILM","Investigation of a Citizen above Suspicion","True",NA,NA,NA,NA,NA,NA,NA
"30","414",1971,"INTERNATIONAL FEATURE FILM","Paix Sur Les Champs","False",NA,NA,NA,NA,NA,NA,NA
"31","33",1971,"WRITING","Airport","False",1970,"Action","Drama","Thriller",6.6,"100489150",137
"32","35",1971,"WRITING","M*A*S*H","True",1970,"Comedy","Drama","War",7.4,"81600000",116
"33","36",1971,"WRITING","Women in Love","False",1969,"Drama","Romance",NA,7.1,"1031979",131
"34","37",1971,"WRITING","Joe","False",1970,"Drama","Thriller",NA,6.8,"19319254",107
"35","38",1971,"WRITING","Love Story","False",1970,"Drama","Romance",NA,6.9,"106400000",100
"36","39",1971,"WRITING","My Night at Maud's","False",1969,"Comedy","Drama","Romance",7.8,NA,105
"37","40",1971,"WRITING","Patton","True",1970,"Biography","Drama","War",7.9,"61700000",172
"38","7",1971,"WRITING","I Never Sang for My Father","False",1970,"Drama","Family",NA,NA,NA,92
"39","810",1971,"WRITING","Lovers and Other Strangers","False",1970,"Comedy","Drama","Romance",NA,NA,104
"40","9",1971,"WRITING","Five Easy Pieces","False",1970,"Drama",NA,NA,NA,NA,98
"41","44",1972,"BEST PICTURE","A Clockwork Orange","False",1971,"Crime","Sci-Fi",NA,8.3,"6207725",136
"42","46",1972,"BEST PICTURE","Fiddler on the Roof","False",1971,"Drama","Family","Musical",8,"80500000",181
"43","48",1972,"BEST PICTURE","The French Connection","True",1971,"Action","Crime","Drama",7.7,"15630710",104
"44","51",1972,"BEST PICTURE","The Last Picture Show","False",1971,"Drama","Romance",NA,8,"29133000",118
"45","52",1972,"BEST PICTURE","Nicholas and Alexandra","False",1971,"Biography","Drama","History",7.2,"3964917",183
"46","42",1972,"INTERNATIONAL FEATURE FILM","The Emigrants","False",1971,"Drama","History",NA,8,"1156554",151
"47","43",1972,"INTERNATIONAL FEATURE FILM","Tchaikovsky","False",1970,"Biography","Drama",NA,6.4,NA,157
"48","1012",1972,"INTERNATIONAL FEATURE FILM","The Policeman","False",1971,"Comedy","Drama",NA,NA,NA,87
"49","514",1972,"INTERNATIONAL FEATURE FILM","Dodes'ka-Den","False",NA,NA,NA,NA,NA,NA,NA
"50","614",1972,"INTERNATIONAL FEATURE FILM","The Garden of the Finzi Continis","True",NA,NA,NA,NA,NA,NA,NA
"51","55",1972,"WRITING","A Clockwork Orange","False",1971,"Crime","Sci-Fi",NA,8.3,"6207725",136
"52","57",1972,"WRITING","The French Connection","True",1971,"Action","Crime","Drama",7.7,"15630710",104
"53","60",1972,"WRITING","The Last Picture Show","False",1971,"Drama","Romance",NA,8,"29133000",118
"54","61",1972,"WRITING","The Hospital","True",1971,"Comedy","Drama","Mystery",7.1,"19711560",103
"55","62",1972,"WRITING","Klute","False",1971,"Crime","Mystery","Thriller",7.1,"17440000",114
"56","65",1972,"WRITING","Summer of '42","False",1971,"Drama","Romance",NA,7.2,"7381960",104
"57","11",1972,"WRITING","The Conformist","False",1970,"Drama",NA,NA,NA,"750000",108
"58","1210",1972,"WRITING","Sunday Bloody Sunday","False",1971,"Drama",NA,NA,NA,NA,110
"59","712",1972,"WRITING","The Garden of the Finzi Continis","False",NA,NA,NA,NA,NA,NA,NA
"60","813",1972,"WRITING","Investigation of a Citizen above Suspicion","False",NA,NA,NA,NA,NA,NA,NA
"61","68",1973,"BEST PICTURE","Cabaret","False",1972,"Drama","Music","Musical",7.8,"42765000",124
"62","69",1973,"BEST PICTURE","Deliverance","False",1972,"Adventure","Drama","Thriller",7.7,"7056013",109
"63","71",1973,"BEST PICTURE","The Emigrants","False",1971,"Drama","History",NA,8,"1156554",151
"64","72",1973,"BEST PICTURE","The Godfather","True",1972,"Crime","Drama",NA,9.2,"134966411",175
"65","73",1973,"BEST PICTURE","Sounder","False",1972,"Drama","Family",NA,7.5,"3100601",105
"66","66",1973,"INTERNATIONAL FEATURE FILM","The Dawns Here Are Quiet","False",1972,"Drama","History","War",8.1,NA,188
"67","13",1973,"INTERNATIONAL FEATURE FILM","The Discreet Charm of the Bourgeoisie","True",1972,"Comedy",NA,NA,NA,"8e+05",101
"68","1410",1973,"INTERNATIONAL FEATURE FILM","The New Land","False",1972,"Drama","Western",NA,NA,NA,204
"69","911",1973,"INTERNATIONAL FEATURE FILM","I Love You Rosa","False",NA,NA,NA,NA,NA,NA,NA
"70","1018",1973,"INTERNATIONAL FEATURE FILM","My Dearest Senorita","False",NA,NA,NA,NA,NA,NA,NA
"71","74",1973,"WRITING","Cabaret","False",1972,"Drama","Music","Musical",7.8,"42765000",124
"72","75",1973,"WRITING","The Emigrants","False",1971,"Drama","History",NA,8,"1156554",151
"73","76",1973,"WRITING","The Godfather","True",1972,"Crime","Drama",NA,9.2,"134966411",175
"74","77",1973,"WRITING","Pete 'n' Tillie","False",1972,"Comedy","Drama","Romance",6.2,"18966000",100
"75","78",1973,"WRITING","Sounder","False",1972,"Drama","Family",NA,7.5,"3100601",105
"76","79",1973,"WRITING","Lady Sings the Blues","False",1972,"Biography","Drama","Music",7,"6028486",144
"77","81",1973,"WRITING","Young Winston","False",1972,"Biography","Drama","War",6.7,"4687000",124
"78","15",1973,"WRITING","The Candidate","True",1972,"Comedy","Drama",NA,NA,NA,110
"79","1613",1973,"WRITING","The Discreet Charm of the Bourgeoisie","False",1972,"Comedy",NA,NA,NA,"8e+05",101
"80","1711",1973,"WRITING","Murmur of the Heart","False",1971,"Comedy","Drama",NA,NA,NA,118
"81","85",1974,"BEST PICTURE","The Exorcist","False",1973,"Horror",NA,NA,8.1,"232906145",122
"82","86",1974,"BEST PICTURE","The Sting","True",1973,"Comedy","Crime","Drama",8.3,"159600000",129
"83","87",1974,"BEST PICTURE","A Touch of Class","False",1973,"Comedy","Romance",NA,6.5,"18312000",106
"84","1910",1974,"BEST PICTURE","American Graffiti","False",1973,"Comedy","Drama",NA,NA,"777000",110
"85","2010",1974,"BEST PICTURE","Cries and Whispers","False",1972,"Drama",NA,NA,NA,"4e+05",95
"86","83",1974,"INTERNATIONAL FEATURE FILM","Day for Night","True",1973,"Comedy","Drama","Romance",8,"17808",116
"87","84",1974,"INTERNATIONAL FEATURE FILM","Turkish Delight","False",1973,"Drama","Romance",NA,7.1,NA,108
"88","18",1974,"INTERNATIONAL FEATURE FILM","The Pedestrian","False",1973,"Drama",NA,NA,NA,NA,98
"89","1114",1974,"INTERNATIONAL FEATURE FILM","The House on Chelouche Street","False",NA,NA,NA,NA,NA,NA,NA
"90","1213",1974,"INTERNATIONAL FEATURE FILM","L'Invitation","False",NA,NA,NA,NA,NA,NA,NA
"91","88",1974,"WRITING","The Exorcist","True",1973,"Horror",NA,NA,8.1,"232906145",122
"92","89",1974,"WRITING","Paper Moon","False",1973,"Comedy","Crime","Drama",8.1,"30933743",102
"93","90",1974,"WRITING","Serpico","False",1973,"Biography","Crime","Drama",7.7,"29800000",130
"94","93",1974,"WRITING","The Sting","True",1973,"Comedy","Crime","Drama",8.3,"159600000",129
"95","94",1974,"WRITING","A Touch of Class","False",1973,"Comedy","Romance",NA,6.5,"18312000",106
"96","21",1974,"WRITING","The Last Detail","False",1973,"Comedy","Drama",NA,NA,"2300000",105
"97","2210",1974,"WRITING","The Paper Chase","False",1973,"Comedy","Drama","Romance",NA,NA,113
"98","2310",1974,"WRITING","American Graffiti","False",1973,"Comedy","Drama",NA,NA,"777000",110
"99","248",1974,"WRITING","Cries and Whispers","False",1972,"Drama",NA,NA,NA,"4e+05",95
"100","25",1974,"WRITING","Save the Tiger","False",1973,"Drama",NA,NA,NA,NA,100
"101","102",1975,"BEST PICTURE","Chinatown","False",1974,"Drama","Mystery","Thriller",8.2,"8486653",130
"102","104",1975,"BEST PICTURE","The Conversation","False",1974,"Drama","Mystery","Thriller",7.8,"4420000",113
"103","106",1975,"BEST PICTURE","The Godfather Part II","True",1974,"Crime","Drama",NA,9,"57300000",202
"104","107",1975,"BEST PICTURE","Lenny","False",1974,"Biography","Drama",NA,7.6,"8427866",111
"105","108",1975,"BEST PICTURE","The Towering Inferno","False",1974,"Action","Drama","Thriller",7,"1.16e+08",165
"106","95",1975,"INTERNATIONAL FEATURE FILM","The Deluge","False",1974,"Adventure","History","Romance",7.7,NA,287
"107","99",1975,"INTERNATIONAL FEATURE FILM","Lacombe, Lucien","False",1974,"Drama","Romance","War",7.6,NA,138
"108","101",1975,"INTERNATIONAL FEATURE FILM","The Truce","False",1974,"Drama","Romance",NA,7.3,NA,108
"109","261",1975,"INTERNATIONAL FEATURE FILM","Amarcord","True",1973,"Comedy","Drama",NA,NA,NA,123
"110","1311",1975,"INTERNATIONAL FEATURE FILM","Cats' Play","False",NA,NA,NA,NA,NA,NA,NA
"111","110",1975,"WRITING","Alice Doesn't Live Here Anymore","False",1974,"Drama","Romance",NA,7.3,"18600000",112
"112","111",1975,"WRITING","Chinatown","True",1974,"Drama","Mystery","Thriller",8.2,"8486653",130
"113","113",1975,"WRITING","The Conversation","False",1974,"Drama","Mystery","Thriller",7.8,"4420000",113
"114","115",1975,"WRITING","Day for Night","False",1973,"Comedy","Drama","Romance",8,"17808",116
"115","116",1975,"WRITING","Harry and Tonto","False",1974,"Adventure","Comedy","Drama",7.4,"1262135",115
"116","118",1975,"WRITING","The Godfather Part II","True",1974,"Crime","Drama",NA,9,"57300000",202
"117","119",1975,"WRITING","Lenny","False",1974,"Biography","Drama",NA,7.6,"8427866",111
"118","120",1975,"WRITING","Murder on the Orient Express","False",1974,"Crime","Drama","Mystery",7.2,"72034",128
"119","274",1975,"WRITING","The Apprenticeship of Duddy Kravitz","False",1974,"Drama",NA,NA,NA,NA,120
"120","28",1975,"WRITING","Young Frankenstein","False",1974,"Comedy",NA,NA,NA,"2800000",106
"121","125",1976,"BEST PICTURE","Barry Lyndon","False",1975,"Adventure","Drama","War",8.1,NA,185
"122","127",1976,"BEST PICTURE","Dog Day Afternoon","False",1975,"Biography","Crime","Drama",8,"5e+07",125
"123","130",1976,"BEST PICTURE","Jaws","False",1975,"Adventure","Thriller",NA,8.1,"2.6e+08",124
"124","312",1976,"BEST PICTURE","Nashville","False",1975,"Drama","Music","Comedy",NA,"2200000",160
"125","1510",1976,"BEST PICTURE","One Flew over the Cuckoo's Nest","True",NA,NA,NA,NA,NA,NA,NA
"126","122",1976,"INTERNATIONAL FEATURE FILM","Dersu Uzala","True",1975,"Adventure","Biography","Drama",8.2,NA,142
"127","124",1976,"INTERNATIONAL FEATURE FILM","Letters from Marusia","False",1975,"Drama","History",NA,6.9,NA,110
"128","291",1976,"INTERNATIONAL FEATURE FILM","Sandakan No. 8","False",1974,"Drama",NA,NA,NA,NA,120
"129","301",1976,"INTERNATIONAL FEATURE FILM","Scent of a Woman","False",1974,"Drama",NA,NA,NA,NA,103
"130","1414",1976,"INTERNATIONAL FEATURE FILM","Land of Promise","False",NA,NA,NA,NA,NA,NA,NA
"131","132",1976,"WRITING","And Now My Love","False",1974,"Drama","Romance",NA,7.2,NA,150
"132","133",1976,"WRITING","Dog Day Afternoon","True",1975,"Biography","Crime","Drama",8,"5e+07",125
"133","136",1976,"WRITING","Barry Lyndon","False",1975,"Adventure","Drama","War",8.1,NA,185
"134","138",1976,"WRITING","The Man Who Would Be King","False",1975,"Adventure","War",NA,7.8,NA,129
"135","32",1976,"WRITING","Shampoo","False",1975,"Comedy","Drama","Romance",NA,NA,109
"136","331",1976,"WRITING","Scent of a Woman","False",1974,"Drama",NA,NA,NA,NA,103
"137","34",1976,"WRITING","The Sunshine Boys","False",1975,"Comedy",NA,NA,NA,NA,111
"138","1619",1976,"WRITING","Lies My Father Told Me","False",NA,NA,NA,NA,NA,NA,NA
"139","1715",1976,"WRITING","One Flew over the Cuckoo's Nest","True",NA,NA,NA,NA,NA,NA,NA
"140","142",1977,"BEST PICTURE","All the President's Men","False",1976,"Drama","History","Thriller",7.9,"70600000",138
"141","144",1977,"BEST PICTURE","Bound for Glory","False",1976,"Biography","Drama","Music",7.3,NA,147
"142","145",1977,"BEST PICTURE","Rocky","True",1976,"Drama","Sport",NA,8.1,"117235247",120
"143","146",1977,"BEST PICTURE","Taxi Driver","False",1976,"Crime","Drama",NA,8.2,"28262574",114
"144","372",1977,"BEST PICTURE","Network","False",1976,"Drama",NA,NA,NA,"3800000",122
"145","140",1977,"INTERNATIONAL FEATURE FILM","Black and White in Color","True",1976,"Comedy","Drama","War",6.8,NA,90
"146","141",1977,"INTERNATIONAL FEATURE FILM","Seven Beauties","False",1975,"Comedy","Drama","War",7.7,"11962",116
"147","358",1977,"INTERNATIONAL FEATURE FILM","Cousin, Cousine","False",1975,"Comedy","Romance",NA,NA,NA,95
"148","362",1977,"INTERNATIONAL FEATURE FILM","Nights and Days","False",1975,"Drama",NA,NA,NA,NA,277
"149","1810",1977,"INTERNATIONAL FEATURE FILM","Jacob, the Liar","False",NA,NA,NA,NA,NA,NA,NA
"150","147",1977,"WRITING","All the President's Men","True",1976,"Drama","History","Thriller",7.9,"70600000",138
"151","149",1977,"WRITING","Bound for Glory","False",1976,"Biography","Drama","Music",7.3,NA,147
"152","150",1977,"WRITING","Fellini's Casanova","False",1976,"Biography","Drama","History",7,NA,155
"153","153",1977,"WRITING","Voyage of the Damned","False",1976,"Drama","War",NA,6.4,NA,155
"154","154",1977,"WRITING","Rocky","False",1976,"Drama","Sport",NA,8.1,"117235247",120
"155","155",1977,"WRITING","Seven Beauties","False",1975,"Comedy","Drama","War",7.7,"11962",116
"156","381",1977,"WRITING","Cousin, Cousine","False",1975,"Comedy","Romance",NA,NA,NA,95
"157","392",1977,"WRITING","The Front","False",1976,"Comedy","Drama",NA,NA,NA,95
"158","402",1977,"WRITING","Network","True",1976,"Drama",NA,NA,NA,"3800000",122
"159","1912",1977,"WRITING","The Seven-per-cent Solution","False",NA,NA,NA,NA,NA,NA,NA
"160","159",1978,"BEST PICTURE","Annie Hall","True",1977,"Comedy","Romance",NA,8,"39200000",93
"161","160",1978,"BEST PICTURE","The Goodbye Girl","False",1977,"Comedy","Drama","Romance",7.4,"1.02e+08",111
"162","161",1978,"BEST PICTURE","Star Wars","False",1977,"Action","Adventure","Fantasy",8.6,"322740140",121
"163","165",1978,"BEST PICTURE","The Turning Point","False",1977,"Drama","Music","Romance",6.8,"33600000",119
"164","441",1978,"BEST PICTURE","Julia","False",1977,"Drama",NA,NA,NA,NA,117
"165","156",1978,"INTERNATIONAL FEATURE FILM","Operation Thunderbolt","False",1977,"Action","Drama","History",6.6,NA,124
"166","158",1978,"INTERNATIONAL FEATURE FILM","That Obscure Object of Desire","False",1977,"Comedy","Drama","Romance",7.8,"55261",103
"167","41",1978,"INTERNATIONAL FEATURE FILM","Iphigenia","False",1977,"Action","Drama",NA,NA,NA,127
"168","423",1978,"INTERNATIONAL FEATURE FILM","Madame Rosa","True",1977,"Drama",NA,NA,NA,NA,105
"169","431",1978,"INTERNATIONAL FEATURE FILM","A Special Day","False",1977,"Drama","Romance",NA,NA,NA,106
"170","166",1978,"WRITING","Equus","False",1977,"Drama","Mystery",NA,7.1,NA,137
"171","167",1978,"WRITING","I Never Promised You a Rose Garden","False",1977,"Drama","Fantasy",NA,6.4,NA,96
"172","168",1978,"WRITING","Oh, God!","False",1977,"Comedy","Fantasy",NA,6.6,"41687243",98
"173","169",1978,"WRITING","That Obscure Object of Desire","False",1977,"Comedy","Drama","Romance",7.8,"55261",103
"174","170",1978,"WRITING","Annie Hall","True",1977,"Comedy","Romance",NA,8,"39200000",93
"175","171",1978,"WRITING","The Goodbye Girl","False",1977,"Comedy","Drama","Romance",7.4,"1.02e+08",111
"176","172",1978,"WRITING","The Late Show","False",1977,"Comedy","Mystery","Thriller",6.9,NA,93
"177","174",1978,"WRITING","Star Wars","False",1977,"Action","Adventure","Fantasy",8.6,"322740140",121
"178","178",1978,"WRITING","The Turning Point","False",1977,"Drama","Music","Romance",6.8,"33600000",119
"179","45",1978,"WRITING","Julia","True",1977,"Drama",NA,NA,NA,NA,117
"180","181",1979,"BEST PICTURE","Coming Home","False",1978,"Drama","Romance","War",7.3,"32653905",127
"181","183",1979,"BEST PICTURE","The Deer Hunter","True",1978,"Drama","War",NA,8.1,"48979328",183
"182","184",1979,"BEST PICTURE","Heaven Can Wait","False",1978,"Comedy","Fantasy","Romance",6.9,"81640278",101
"183","187",1979,"BEST PICTURE","Midnight Express","False",1978,"Biography","Crime","Drama",7.5,"3.5e+07",121
"184","190",1979,"BEST PICTURE","An Unmarried Woman","False",1978,"Comedy","Drama","Romance",7.1,"2.4e+07",124
"185","179",1979,"INTERNATIONAL FEATURE FILM","Get Out Your Handkerchiefs","True",1978,"Comedy","Drama","Romance",7,NA,108
"186","180",1979,"INTERNATIONAL FEATURE FILM","The Glass Cell","False",1978,"Crime","Drama",NA,6.7,NA,93
"187","462",1979,"INTERNATIONAL FEATURE FILM","White Bim Black Ear","False",1977,"Drama",NA,NA,NA,NA,182
"188","2012",1979,"INTERNATIONAL FEATURE FILM","Hungarians","False",NA,NA,NA,NA,NA,NA,NA
"189","2110",1979,"INTERNATIONAL FEATURE FILM","Viva Italia!","False",NA,NA,NA,NA,NA,NA,NA
"190","191",1979,"WRITING","California Suite","False",1978,"Comedy","Drama","Romance",6.2,NA,103
"191","192",1979,"WRITING","Heaven Can Wait","False",1978,"Comedy","Fantasy","Romance",6.9,"81640278",101
"192","195",1979,"WRITING","Midnight Express","True",1978,"Biography","Crime","Drama",7.5,"3.5e+07",121
"193","198",1979,"WRITING","Same Time, Next Year","False",1978,"Comedy","Drama","Romance",7.2,"19703082",119
"194","199",1979,"WRITING","Coming Home","True",1978,"Drama","Romance","War",7.3,"32653905",127
"195","201",1979,"WRITING","The Deer Hunter","False",1978,"Drama","War",NA,8.1,"48979328",183
"196","202",1979,"WRITING","An Unmarried Woman","False",1978,"Comedy","Drama","Romance",7.1,"2.4e+07",124
"197","47",1979,"WRITING","Bloodbrothers","False",1978,"Drama",NA,NA,NA,NA,116
"198","482",1979,"WRITING","Autumn Sonata","False",1978,"Drama",NA,NA,NA,NA,93
"199","49",1979,"WRITING","Interiors","False",1978,"Drama",NA,NA,NA,"1e+07",93
"200","206",1980,"BEST PICTURE","Apocalypse Now","False",1979,"Drama","Mystery","War",8.5,"83471511",147
"201","208",1980,"BEST PICTURE","Breaking Away","False",1979,"Comedy","Drama","Sport",7.7,"16424918",101
"202","511",1980,"BEST PICTURE","All That Jazz","False",1979,"Drama",NA,NA,NA,NA,123
"203","526",1980,"BEST PICTURE","Kramer vs. Kramer","True",1979,"Drama",NA,NA,NA,"8e+06",105
"204","53",1980,"BEST PICTURE","Norma Rae","False",1979,"Drama",NA,NA,NA,"4500000",110
"205","203",1980,"INTERNATIONAL FEATURE FILM","The Maids of Wilko","False",1979,"Drama","Romance",NA,7.4,NA,118
"206","204",1980,"INTERNATIONAL FEATURE FILM","A Simple Story","False",1978,"Drama","Romance",NA,6.9,NA,110
"207","205",1980,"INTERNATIONAL FEATURE FILM","The Tin Drum","True",1979,"Drama","War",NA,7.5,NA,142
"208","50",1980,"INTERNATIONAL FEATURE FILM","To Forget Venice","False",1979,"Drama",NA,NA,NA,NA,110
"209","2212",1980,"INTERNATIONAL FEATURE FILM","Mama Turns a Hundred","False",NA,NA,NA,NA,NA,NA,NA
"210","209",1980,"WRITING","Apocalypse Now","False",1979,"Drama","Mystery","War",8.5,"83471511",147
"211","211",1980,"WRITING","A Little Romance","False",1979,"Adventure","Comedy","Romance",7.4,NA,110
"212","213",1980,"WRITING","Breaking Away","True",1979,"Comedy","Drama","Sport",7.7,"16424918",101
"213","214",1980,"WRITING","The China Syndrome","False",1979,"Drama","Thriller",NA,7.4,"51718367",122
"214","215",1980,"WRITING","Manhattan","False",1979,"Comedy","Drama","Romance",7.8,"45700000",96
"215","54",1980,"WRITING","Kramer vs. Kramer","True",1979,"Drama",NA,NA,NA,"8e+06",105
"216","552",1980,"WRITING","La Cage aux Folles","False",1978,"Comedy",NA,NA,NA,NA,92
"217","56",1980,"WRITING","Norma Rae","False",1979,"Drama",NA,NA,NA,"4500000",110
"218","572",1980,"WRITING","All That Jazz","False",1979,"Drama",NA,NA,NA,NA,123
"219","58",1980,"WRITING","...And Justice for All","False",1979,"Crime","Drama","Mystery",NA,NA,119
"220","219",1981,"BEST PICTURE","Coal Miner's Daughter","False",1980,"Biography","Drama","Music",7.5,"67182787",124
"221","220",1981,"BEST PICTURE","The Elephant Man","False",1980,"Biography","Drama",NA,8.2,NA,124
"222","221",1981,"BEST PICTURE","Raging Bull","False",1980,"Biography","Drama","Sport",8.2,"23383987",129
"223","223",1981,"BEST PICTURE","Tess","False",1979,"Drama","Romance",NA,7.3,NA,186
"224","612",1981,"BEST PICTURE","Ordinary People","True",1980,"Drama",NA,NA,NA,"6e+06",124
"225","216",1981,"INTERNATIONAL FEATURE FILM","The Last Metro","False",1980,"Drama","Romance","War",7.4,NA,131
"226","218",1981,"INTERNATIONAL FEATURE FILM","Moscow Does Not Believe in Tears","True",1980,"Comedy","Drama","Romance",8.1,"2500000",150
"227","59",1981,"INTERNATIONAL FEATURE FILM","Confidence","False",1980,"Drama",NA,NA,NA,NA,105
"228","601",1981,"INTERNATIONAL FEATURE FILM","The Nest","False",1980,"Drama",NA,NA,NA,NA,97
"229","2312",1981,"INTERNATIONAL FEATURE FILM","Kagemusha (The Shadow Warrior)","False",NA,NA,NA,NA,NA,NA,NA
"230","224",1981,"WRITING","Breaker Morant","False",1980,"Drama","History","War",7.8,"7142857",107
"231","226",1981,"WRITING","Coal Miner's Daughter","False",1980,"Biography","Drama","Music",7.5,"67182787",124
"232","227",1981,"WRITING","The Elephant Man","False",1980,"Biography","Drama",NA,8.2,NA,124
"233","228",1981,"WRITING","The Stunt Man","False",1980,"Action","Comedy","Drama",7,"7063886",131
"234","231",1981,"WRITING","Brubaker","False",1980,"Crime","Drama",NA,7.1,"37121708",131
"235","232",1981,"WRITING","Private Benjamin","False",1980,"Comedy","War",NA,6.2,"69847348",109
"236","622",1981,"WRITING","Ordinary People","True",1980,"Drama",NA,NA,NA,"6e+06",124
"237","63",1981,"WRITING","Fame","False",1980,"Drama","Music",NA,NA,NA,134
"238","64",1981,"WRITING","Melvin and Howard","True",1980,"Comedy","Drama",NA,NA,NA,95
"239","2410",1981,"WRITING","Mon Oncle D'Amerique","False",NA,NA,NA,NA,NA,NA,NA
"240","235",1982,"BEST PICTURE","Atlantic City","False",1980,"Crime","Drama","Romance",7.3,NA,104
"241","237",1982,"BEST PICTURE","Chariots of Fire","True",1981,"Biography","Drama","Sport",7.1,"58972904",125
"242","239",1982,"BEST PICTURE","Raiders of the Lost Ark","False",1981,"Action","Adventure",NA,8.4,"248159971",115
"243","241",1982,"BEST PICTURE","Reds","False",1981,"Biography","Drama","History",7.3,"40382659",195
"244","683",1982,"BEST PICTURE","On Golden Pond","False",1981,"Drama",NA,NA,NA,NA,109
"245","233",1982,"INTERNATIONAL FEATURE FILM","The Boat Is Full","False",1981,"Drama","War",NA,7.1,NA,101
"246","234",1982,"INTERNATIONAL FEATURE FILM","Man of Iron","False",1981,"Drama","History",NA,7.3,NA,156
"247","651",1982,"INTERNATIONAL FEATURE FILM","Mephisto","True",1981,"Drama",NA,NA,NA,NA,145
"248","665",1982,"INTERNATIONAL FEATURE FILM","Muddy River","False",1981,"Drama",NA,NA,NA,NA,105
"249","67",1982,"INTERNATIONAL FEATURE FILM","Three Brothers","False",1981,"Drama",NA,NA,NA,NA,113
"250","244",1982,"WRITING","The French Lieutenant's Woman","False",1981,"Drama","Romance",NA,6.9,"22600000",124
"251","245",1982,"WRITING","Pennies from Heaven","False",1981,"Drama","Musical","Romance",6.5,"9179289",108
"252","246",1982,"WRITING","Prince of the City","False",1981,"Crime","Drama",NA,7.4,"8124257",167
"253","247",1982,"WRITING","Absence of Malice","False",1981,"Drama","Romance","Thriller",6.9,"40716963",116
"254","249",1982,"WRITING","Arthur","False",1981,"Comedy","Romance",NA,6.9,"95461682",97
"255","250",1982,"WRITING","Atlantic City","False",1980,"Crime","Drama","Romance",7.3,NA,104
"256","252",1982,"WRITING","Chariots of Fire","True",1981,"Biography","Drama","Sport",7.1,"58972904",125
"257","254",1982,"WRITING","Reds","False",1981,"Biography","Drama","History",7.3,"40382659",195
"258","691",1982,"WRITING","On Golden Pond","True",1981,"Drama",NA,NA,NA,NA,109
"259","70",1982,"WRITING","Ragtime","False",1981,"Drama",NA,NA,NA,NA,155
"260","260",1983,"BEST PICTURE","Gandhi","True",1982,"Biography","Drama","History",8,"52767889",191
